feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25
47.62,38.5,70.81,41.75,59.22,65.48,49.29,49.44,67.76,75.75,32.59,43.09,64.23,49.51,49.86,79.94,63.67,63.65,70.46,78.56,103.04,44.76,92.51,25.04,94.59
59.54,58.57,38.75,59.68,66.14,47.0,57.59,50.61,35.55,50.83,76.78,53.39,47.96,74.37,23.14,71.51,76.12,76.07,49.48,72.25,61.2,75.36,76.3,74.14,89.47
38.08,59.71,36.12,50.79,55.05,47.43,69.9,76.94,64.02,71.95,40.91,59.07,79.34,61.54,71.07,89.33,61.37,99.86,100.21,117.84,64.75,59.74,47.21,64.99,72.12
53.39,48.73,54.89,64.16,62.74,48.54,50.46,12.91,49.86,59.98,58.23,43.35,43.92,64.57,62.33,76.37,46.25,87.12,96.5,91.74,74.57,43.71,53.72,100.88,74.24
64.72,67.13,53.59,28.47,75.48,62.97,56.38,63.54,48.35,57.34,72.67,85.53,44.71,82.52,55.08,47.85,66.02,112.47,58.6,51.38,66.32,79.78,57.33,90.0,92.5
34.12,50.35,54.99,52.81,59.77,69.44,56.78,58.48,38.03,63.73,51.47,40.8,69.06,62.06,78.37,34.99,50.38,55.52,103.79,46.06,31.76,59.15,32.26,38.21,92.46
52.94,53.38,55.81,46.77,58.9,50.7,66.22,34.47,52.26,54.13,48.21,83.54,89.45,64.26,64.21,71.6,61.99,99.85,68.92,124.13,59.11,76.78,97.24,101.78,101.29
53.73,50.1,50.43,59.19,36.01,67.8,64.98,62.34,74.73,53.56,64.51,80.96,57.18,53.81,41.91,56.49,91.84,52.98,119.49,91.25,85.09,89.8,75.37,83.89,87.4
59.21,52.17,70.13,59.64,22.12,57.61,54.03,64.66,58.63,34.43,78.33,76.37,74.57,71.32,31.2,48.35,62.0,74.72,71.82,81.79,100.47,52.04,48.59,39.96,88.42
38.01,39.94,34.59,45.51,59.85,54.38,57.86,66.25,68.1,56.28,42.88,50.9,80.71,69.95,45.24,43.18,99.76,81.92,80.24,71.5,47.33,73.93,104.3,75.23,64.96
37.14,36.16,43.47,45.45,53.81,53.25,51.98,20.87,83.14,52.8,58.67,67.48,76.44,79.31,106.88,68.9,93.49,58.3,96.3,75.47,47.23,33.98,57.92,96.77,61.92
56.48,69.54,51.81,52.67,48.57,65.71,37.05,77.13,62.82,52.26,34.15,41.56,57.87,54.15,77.65,93.14,56.28,69.67,93.91,40.36,71.62,104.18,78.39,47.29,92.56
54.12,42.68,34.1,43.24,58.04,60.23,60.48,47.67,50.9,66.25,54.91,76.57,45.0,56.22,68.3,58.64,46.44,85.3,78.96,73.14,28.45,43.46,55.26,104.31,62.08
53.63,41.09,50.98,64.1,54.24,85.59,82.54,67.61,65.78,69.88,61.53,60.82,26.58,77.47,61.82,76.62,66.03,54.5,66.25,71.42,61.88,61.19,29.61,40.72,74.53
54.64,28.31,72.11,49.57,69.1,44.92,45.07,68.38,51.11,63.48,47.75,55.45,58.66,68.29,60.67,64.16,88.34,99.72,79.03,51.92,35.41,100.11,43.66,56.59,106.03
43.86,44.97,53.24,19.12,56.08,62.74,46.56,45.73,51.69,74.93,53.92,42.42,82.44,48.59,85.43,42.79,57.93,41.69,53.08,59.23,99.07,67.08,63.36,53.26,102.46
53.44,37.45,55.65,49.5,45.66,49.12,45.25,67.25,36.96,68.63,39.17,22.36,44.45,86.21,56.41,79.23,83.8,104.85,71.97,100.3,55.23,46.85,92.31,104.29,81.79
54.08,70.06,38.51,41.54,67.38,44.7,66.78,52.6,72.43,55.57,62.19,45.38,74.55,35.13,75.1,46.3,89.36,87.03,47.37,67.5,104.88,86.97,80.45,63.2,68.34
43.5,63.11,45.91,34.42,52.29,55.86,63.05,29.0,53.4,53.06,77.36,79.8,47.32,77.33,58.9,66.39,52.68,66.3,34.27,111.42,93.83,86.5,76.01,48.42,72.22
70.59,44.43,48.69,39.15,61.58,57.79,54.86,74.35,61.64,64.69,43.99,55.55,64.75,42.49,98.95,59.85,54.49,60.35,69.98,35.19,57.75,58.7,29.78,83.79,94.52
55.98,76.78,49.35,55.31,49.03,93.94,44.61,47.15,43.98,68.61,51.35,59.29,74.68,96.06,77.99,82.08,80.18,58.37,93.61,59.56,49.02,60.98,100.31,88.55,74.18
38.49,62.8,67.74,69.94,46.88,53.61,58.25,46.04,65.32,80.97,68.79,72.49,52.12,37.74,86.8,46.95,69.81,65.42,87.05,39.05,67.03,62.86,77.81,88.69,62.44
57.89,48.43,59.41,57.76,56.05,41.31,35.88,52.36,47.95,77.87,79.79,90.89,65.81,83.59,54.77,73.04,54.31,67.08,67.4,45.81,68.85,67.65,70.43,68.03,102.35
40.77,24.51,40.22,46.72,55.16,59.55,58.94,61.81,56.95,51.88,37.86,83.2,56.15,62.61,83.52,50.88,60.48,91.85,103.07,53.44,78.1,32.25,97.35,79.6,79.09
59.26,77.2,55.83,59.47,61.0,29.03,68.77,57.2,71.73,58.47,58.38,46.44,74.63,57.77,59.53,56.8,65.7,105.4,57.9,76.31,55.08,68.19,99.82,59.69,62.01
63.17,36.71,58.73,48.49,51.64,54.8,40.11,65.67,70.47,70.07,65.39,30.92,66.88,67.15,66.93,0.57,38.05,71.79,31.6,75.34,86.3,109.46,97.82,110.85,85.78
42.38,33.9,66.11,45.66,32.05,56.21,36.31,39.25,58.68,76.02,59.42,99.75,63.93,74.74,93.61,103.66,81.16,51.93,26.45,56.41,76.44,53.18,67.69,99.17,96.85
61.12,63.25,71.18,40.15,49.59,66.33,78.32,47.61,33.36,74.08,22.61,98.3,88.71,48.63,46.75,75.91,58.14,57.63,45.97,25.44,64.02,59.75,51.43,97.83,52.33
55.33,78.84,41.33,32.98,64.92,68.66,48.74,56.38,102.4,59.04,68.77,65.02,73.93,50.13,68.56,52.19,15.5,64.52,84.92,99.55,56.4,47.14,94.26,91.47,70.49
59.63,67.23,43.68,49.32,51.28,49.45,72.34,84.57,84.31,41.19,84.55,41.67,51.61,75.04,72.67,45.76,66.56,48.43,56.62,64.28,67.21,84.86,43.65,85.43,69.45
70.92,58.2,38.54,55.9,51.92,54.04,54.92,56.41,69.48,45.02,62.81,77.41,61.58,34.98,74.1,57.08,53.28,45.6,77.99,47.67,54.25,97.27,114.87,46.62,85.18
48.42,58.54,50.31,52.84,67.33,46.04,54.81,73.19,48.08,64.09,45.02,60.27,61.75,54.07,57.11,78.9,98.24,107.85,101.1,75.5,72.2,96.79,73.6,87.93,89.22
43.09,61.39,58.36,49.01,46.1,41.34,62.92,58.54,57.35,65.13,53.05,60.19,64.33,115.69,101.51,31.94,56.17,73.75,47.55,74.09,72.75,45.79,50.19,76.51,62.59
41.66,60.35,64.35,42.65,35.71,60.03,45.07,51.23,51.12,43.52,88.43,76.31,104.65,47.54,42.34,63.45,46.69,52.17,78.33,63.55,76.36,82.5,46.51,101.79,41.41
42.43,55.09,52.13,61.3,52.99,39.44,58.79,54.55,77.33,60.67,75.1,67.35,69.12,83.51,90.53,97.87,76.4,83.52,79.51,72.97,107.21,102.11,45.53,91.76,98.22
50.19,53.15,49.32,38.19,48.95,50.61,51.85,55.64,62.81,69.47,70.92,43.03,29.41,54.04,86.26,45.59,54.78,45.61,52.22,46.9,68.28,82.7,76.02,86.11,49.8
54.58,51.31,54.75,63.31,42.92,43.06,39.17,66.45,47.63,42.73,66.52,56.8,54.04,72.65,98.27,67.45,52.58,47.18,95.41,85.2,91.59,82.05,72.86,36.95,81.1
53.91,43.71,43.4,41.97,52.81,63.15,61.56,77.24,52.17,76.57,50.75,72.58,31.12,75.12,37.21,105.66,76.43,52.74,63.39,50.06,75.71,62.1,46.43,72.04,72.03
59.69,48.91,77.03,44.97,61.14,79.42,53.45,63.04,75.26,54.34,57.89,70.16,57.56,83.19,49.8,77.38,47.75,99.44,61.52,57.89,66.12,76.62,65.34,61.73,78.65
51.14,33.38,34.51,36.4,54.88,39.08,54.88,74.62,82.2,78.86,59.79,66.19,30.21,60.6,91.11,68.27,40.04,63.2,110.18,82.98,68.56,97.96,43.59,79.55,112.15
66.26,50.92,55.12,47.98,58.84,31.91,40.66,44.49,81.16,52.0,69.52,76.93,48.62,97.81,32.15,75.12,98.93,21.61,79.19,94.08,69.79,78.89,85.67,64.86,143.36
48.22,41.13,76.27,65.7,77.67,54.38,78.48,52.2,69.98,44.6,84.39,56.21,37.91,53.98,36.89,58.78,77.72,90.99,87.04,101.72,76.74,45.79,71.83,67.93,38.25
79.56,39.86,53.08,60.19,50.71,56.2,68.84,47.86,55.34,53.13,78.33,64.86,69.34,67.98,56.45,89.39,62.11,62.18,95.42,91.12,51.33,62.42,64.86,84.1,97.14
57.57,53.98,50.81,65.74,58.48,58.84,70.02,62.4,12.0,58.57,39.0,7.99,63.01,68.17,68.36,58.81,66.94,32.86,56.32,63.52,40.96,97.39,45.31,64.49,71.48
42.0,67.31,48.89,60.27,48.63,50.2,52.88,52.97,63.31,54.17,64.47,54.81,68.0,44.93,92.86,30.73,76.36,61.98,93.37,39.18,84.41,78.82,66.55,76.68,98.58
39.76,62.1,50.93,40.76,44.42,53.39,33.66,68.22,58.97,56.76,72.42,74.22,61.27,59.14,61.76,58.96,85.01,77.9,59.21,98.1,89.41,74.5,64.08,40.57,96.54
56.07,34.72,68.79,50.03,47.69,60.78,83.36,44.97,61.03,65.01,70.59,55.75,39.99,66.75,54.36,48.6,53.01,75.68,58.38,97.41,86.29,60.37,79.83,55.69,106.72
48.65,41.11,27.56,44.64,49.02,69.53,56.18,58.6,59.78,57.43,51.25,54.54,71.47,56.65,70.45,60.94,73.77,102.17,63.7,56.56,74.18,96.96,76.59,88.43,81.41
58.5,62.35,70.63,69.97,59.49,30.58,46.89,67.62,39.77,59.01,106.17,45.34,94.72,105.5,73.22,61.34,57.63,51.8,56.87,88.42,86.73,106.91,90.03,46.94,54.98
55.97,41.19,36.62,39.64,84.36,51.2,62.63,29.09,67.08,34.36,41.21,78.05,69.75,49.74,72.72,87.55,63.5,68.89,85.03,63.36,85.63,98.53,62.58,101.41,95.87
50.24,49.53,49.93,64.72,46.05,58.78,72.76,87.7,68.17,65.88,44.21,70.78,55.97,84.05,61.89,78.52,69.97,54.71,74.21,100.03,87.15,102.29,33.0,95.44,77.65
42.11,58.05,48.06,64.72,49.79,44.07,56.69,54.04,68.89,58.66,64.62,75.21,39.44,78.56,30.79,70.74,66.88,38.7,59.42,59.7,53.38,64.47,94.31,68.1,69.74
35.09,41.35,59.77,75.96,54.21,78.51,74.26,29.65,72.73,84.15,93.81,34.38,48.02,63.76,48.94,65.95,80.61,84.83,82.15,109.57,48.51,61.5,52.88,139.97,64.28
46.31,53.16,34.62,49.08,59.95,47.74,71.62,60.21,67.76,45.91,48.04,59.43,70.48,49.29,89.85,46.94,76.01,76.8,63.63,85.72,63.03,68.72,49.2,101.35,97.64
59.99,37.33,58.31,62.55,58.29,55.46,42.47,58.47,53.05,32.88,56.88,57.52,80.71,50.94,68.27,26.74,39.1,73.39,62.6,105.95,70.64,72.81,72.07,53.12,111.08
53.25,45.38,76.28,81.38,71.05,63.23,47.9,56.85,57.97,69.27,77.7,57.51,67.3,55.19,59.36,68.04,41.88,76.11,69.95,60.72,66.04,102.05,79.5,90.42,48.1
37.92,55.52,37.32,46.59,24.67,48.31,69.93,71.88,60.32,65.2,60.72,52.14,76.2,33.64,84.57,80.3,60.16,54.98,78.04,78.1,32.53,96.48,61.59,75.45,88.99
52.82,34.48,55.18,35.58,25.16,31.99,20.38,68.46,60.56,44.87,55.81,56.46,74.68,46.94,45.22,64.05,100.83,48.89,76.6,50.61,106.29,83.31,61.42,56.91,66.62
55.05,56.85,45.39,31.44,48.8,50.43,54.98,62.17,73.47,37.05,69.77,75.59,71.36,38.8,61.06,56.37,51.25,68.72,61.92,86.88,65.38,41.95,64.59,50.46,41.99
41.72,51.78,57.9,62.55,68.72,69.38,37.68,64.3,68.33,83.06,65.22,31.39,52.14,86.88,67.41,74.36,63.15,90.06,85.52,87.98,74.54,36.55,103.46,95.89,78.32
52.61,58.08,53.22,31.4,35.43,51.62,50.57,56.54,89.12,81.21,76.97,90.44,65.87,74.51,57.28,64.5,57.08,98.55,64.66,117.94,96.51,77.05,72.94,60.85,56.25
51.61,54.46,45.62,49.53,17.4,45.0,52.97,82.86,90.99,22.69,81.02,69.74,49.0,77.36,66.76,96.34,56.75,83.11,56.23,79.64,22.93,90.49,52.19,71.76,39.5
39.0,67.01,58.61,59.25,62.14,68.03,52.16,37.29,60.15,53.13,65.76,61.32,63.29,74.01,61.72,88.19,70.3,68.55,40.37,84.48,60.51,70.33,52.41,53.74,57.41
54.76,53.38,73.75,56.22,58.05,51.7,49.54,59.96,3.37,84.96,65.52,76.51,68.46,66.84,40.51,83.27,92.91,73.13,88.17,60.58,63.06,112.21,67.61,57.54,51.88
56.89,47.28,50.8,59.11,41.37,49.37,42.19,58.91,76.93,52.86,64.32,38.77,90.7,88.83,68.18,79.64,75.44,68.22,69.24,80.83,64.11,49.27,78.11,71.21,60.45
62.37,53.35,61.28,56.67,42.68,57.94,87.94,69.39,51.16,52.64,68.58,51.36,41.39,53.62,41.75,42.78,52.13,48.51,73.11,62.4,67.44,46.62,83.41,82.54,45.17
62.06,57.98,38.13,69.35,42.88,66.02,82.21,46.19,47.38,55.76,61.86,60.06,70.94,65.81,67.9,77.93,117.93,68.47,89.39,72.32,100.67,58.05,75.67,17.06,66.11
36.53,52.54,42.0,42.57,56.38,86.96,41.31,33.59,53.22,43.19,60.99,83.85,87.44,76.7,89.05,72.77,68.45,42.64,59.69,73.49,84.81,57.25,54.9,74.37,58.95
41.15,52.45,58.43,45.88,47.17,66.75,78.36,60.2,52.52,34.43,79.55,61.26,75.52,41.54,60.08,76.92,56.32,65.64,42.2,62.95,90.64,83.05,63.89,57.59,83.45
56.41,44.28,70.07,44.73,61.18,71.08,51.61,61.94,67.88,75.79,84.5,69.2,76.74,116.64,44.5,74.87,93.12,99.09,70.36,71.26,71.97,63.14,88.78,104.85,88.35
56.39,44.71,57.09,63.96,19.32,49.42,58.74,78.85,36.39,32.36,37.63,52.57,72.7,64.49,62.78,74.15,58.32,83.63,75.01,62.49,42.31,39.5,48.36,138.74,80.85
56.41,36.57,49.4,64.8,44.29,42.66,56.15,40.21,43.37,63.71,61.16,69.79,84.42,66.41,50.44,114.62,97.76,50.46,63.87,62.41,28.37,90.72,62.99,66.1,69.7
91.45,71.25,52.99,59.41,40.92,56.81,48.09,74.17,63.98,73.3,50.33,88.84,45.06,85.37,75.4,64.63,50.89,66.62,97.74,91.53,39.65,35.04,85.85,36.11,69.1
56.99,38.32,38.62,68.2,51.8,57.39,70.28,91.14,68.03,38.23,56.18,77.93,40.13,79.55,62.41,82.85,93.46,52.15,20.52,73.51,78.38,49.5,91.82,76.57,56.17
62.92,44.38,59.95,39.86,48.27,41.98,58.7,52.71,68.3,46.14,67.24,60.7,62.9,64.65,94.92,57.52,70.72,66.81,90.84,76.94,71.65,37.92,68.85,69.48,56.71
61.02,44.1,63.15,74.01,64.97,53.72,50.57,39.93,47.59,78.2,71.38,72.81,27.34,66.21,85.35,80.23,90.88,87.78,84.43,40.85,66.69,76.35,64.16,117.37,90.83
57.84,61.84,47.8,72.28,31.76,61.19,39.39,52.3,44.82,67.99,59.26,71.24,83.31,38.43,62.32,82.91,102.18,80.41,77.91,78.47,63.44,75.91,44.57,110.66,35.41
47.69,48.76,47.59,62.83,55.57,60.69,44.94,58.2,51.65,50.74,31.34,70.11,83.14,54.54,77.52,72.56,46.05,115.2,3.95,80.61,112.24,112.25,84.3,93.04,73.18
58.97,65.73,56.06,75.38,61.98,62.56,34.84,65.89,62.48,78.03,46.04,79.79,55.85,72.79,58.12,96.05,90.6,90.66,94.04,62.03,54.13,91.19,101.35,61.09,67.72
42.89,44.59,47.98,34.12,78.21,59.78,57.17,49.72,80.54,78.1,74.9,79.67,56.88,71.55,65.59,50.08,40.94,71.88,48.98,111.7,90.02,102.27,128.15,88.91,88.48
48.51,55.07,52.24,47.71,48.98,49.41,40.85,79.77,29.31,64.04,18.52,59.97,61.81,84.76,58.67,57.23,47.63,80.87,59.1,24.22,71.04,78.06,81.31,79.83,42.94
45.9,42.81,77.15,45.18,59.06,49.32,53.41,42.4,55.8,46.5,79.41,72.27,63.86,61.95,78.41,69.82,52.14,64.15,65.67,85.69,69.75,51.48,71.91,79.31,75.28
51.86,75.6,50.16,62.66,32.45,40.41,75.5,33.65,39.68,53.8,69.08,55.87,65.1,40.42,90.08,81.85,76.32,46.58,76.94,84.26,95.12,74.69,53.22,39.72,82.72
75.3,38.94,48.88,41.4,25.1,79.2,73.19,73.49,35.04,64.3,81.4,47.23,72.21,81.96,78.98,69.23,67.61,92.81,81.47,80.83,100.98,84.44,32.6,97.36,32.14
31.39,55.41,45.55,63.09,65.56,56.17,56.56,26.16,73.02,57.17,57.92,57.69,60.15,88.41,81.13,89.14,63.91,87.17,86.41,73.52,66.09,86.78,76.8,76.37,50.83
58.21,58.97,61.56,70.45,54.93,53.08,55.82,55.14,66.9,74.08,29.05,60.78,78.56,79.27,81.15,54.09,69.71,63.42,84.91,81.01,87.38,62.08,123.53,71.78,72.93
34.07,56.55,50.92,62.34,69.73,43.93,82.38,101.65,65.52,37.05,67.67,35.41,70.36,61.22,74.65,45.47,77.94,73.2,73.93,87.36,78.46,82.26,100.32,60.8,86.57
46.04,49.96,45.53,57.41,37.83,94.16,64.03,57.83,72.35,37.59,80.76,75.77,52.99,81.75,45.06,71.55,79.36,91.58,77.11,55.48,71.15,52.41,97.01,56.54,79.11
62.43,50.57,68.19,42.15,61.5,42.05,52.57,42.31,52.04,62.71,75.33,17.72,85.03,122.29,94.77,64.61,87.24,84.08,47.73,75.98,75.19,50.09,78.28,80.98,87.61
51.67,52.48,69.33,43.84,78.36,50.42,37.75,57.2,52.73,52.63,50.73,105.44,40.59,65.96,96.58,75.77,100.67,40.2,54.35,66.33,56.9,48.57,80.73,35.52,50.71
39.68,50.38,46.1,69.0,60.25,61.41,62.32,57.29,90.69,50.59,62.34,86.03,61.48,41.7,60.91,65.51,66.6,72.63,86.46,48.12,64.72,72.52,20.89,91.37,39.25
43.49,62.6,31.53,63.35,58.46,63.8,68.2,60.25,55.42,33.48,52.74,57.82,78.95,54.03,58.51,59.88,57.36,64.82,85.33,84.34,59.1,47.27,89.39,50.81,76.9
58.14,76.32,64.59,53.53,55.11,68.45,48.47,67.27,69.66,60.29,48.3,62.15,51.07,74.63,75.72,64.65,78.35,89.15,83.11,58.71,89.48,63.08,60.54,28.71,47.34
43.33,45.87,45.13,48.99,35.36,79.5,60.93,43.45,59.09,59.21,75.81,66.85,68.11,36.72,74.64,66.52,45.83,87.59,58.97,40.04,69.05,90.96,57.91,114.08,55.53
53.27,36.93,62.09,29.69,71.94,62.58,52.09,81.63,32.2,69.8,42.44,52.57,71.97,66.88,61.47,60.51,54.44,93.05,86.75,59.22,44.4,50.39,66.05,55.12,95.98
51.48,51.03,30.34,41.15,47.36,42.27,54.52,61.43,29.35,61.03,47.15,65.08,48.8,70.47,43.12,62.34,85.49,46.76,46.36,54.02,56.17,61.41,65.32,58.11,79.25
44.16,80.38,63.26,76.94,61.31,52.66,23.41,68.18,50.6,58.01,43.89,59.7,61.8,90.1,70.35,58.74,64.7,53.1,90.01,90.57,5.42,73.5,57.57,98.96,62.22
73.51,43.16,39.07,38.63,35.46,60.0,54.01,49.21,74.31,77.66,37.9,60.49,60.42,86.27,74.65,81.42,44.65,89.17,63.91,73.06,60.86,77.18,73.3,114.8,59.29
57.66,70.03,61.4,56.27,40.26,82.89,70.09,76.01,70.43,40.31,63.27,64.9,53.9,78.7,77.7,69.49,39.44,56.76,101.84,97.65,71.77,61.51,61.0,40.27,88.97
29.74,70.45,53.16,66.09,72.94,37.83,48.48,54.4,72.25,68.05,79.0,40.98,100.98,27.23,71.11,106.62,67.9,39.09,39.33,56.67,68.21,88.52,75.16,52.96,79.77
52.96,45.91,42.03,38.94,50.66,71.63,57.71,61.89,44.69,34.93,58.13,62.63,50.41,79.66,60.26,68.89,88.13,78.12,103.39,87.48,111.59,84.4,41.03,54.58,47.67
44.05,58.26,48.32,56.22,73.17,58.34,46.79,44.94,82.43,47.42,37.66,64.62,79.58,75.99,82.4,56.08,87.88,57.6,61.95,126.79,82.79,95.94,68.4,94.57,31.17
59.95,69.91,60.89,65.25,54.02,66.89,61.87,44.04,45.01,41.81,74.02,64.06,56.52,68.35,66.15,114.07,69.05,102.01,61.6,77.12,81.87,70.29,49.43,110.06,117.34
42.68,47.83,54.22,54.15,31.98,54.67,54.08,67.63,62.09,71.73,87.13,58.55,45.07,34.59,56.86,73.45,104.16,73.63,72.8,87.23,37.31,61.23,59.21,50.23,47.49
49.8,49.76,59.72,88.42,66.15,45.05,44.32,51.79,58.85,59.02,50.98,80.21,64.7,50.79,61.84,83.82,65.06,71.04,55.41,83.87,63.52,57.66,76.08,105.12,86.87
56.3,45.6,75.73,33.98,47.63,65.76,74.99,46.05,56.48,59.8,53.58,56.34,73.71,44.16,34.45,76.66,64.44,60.98,67.59,41.56,61.02,78.45,38.51,58.4,108.99
60.09,40.84,35.01,66.7,63.73,64.51,69.54,49.0,78.41,43.4,68.99,65.64,78.19,29.74,61.81,77.21,19.5,98.23,54.62,81.72,54.89,64.08,55.32,81.39,78.32
38.4,44.86,71.6,51.93,55.32,68.64,48.83,67.79,48.78,55.5,86.14,82.76,88.78,63.95,77.05,75.64,58.72,74.81,55.33,76.13,54.6,60.05,85.23,46.03,61.49
47.49,38.54,54.2,63.26,35.71,55.83,63.72,49.19,39.43,48.55,52.94,60.73,111.6,50.44,70.95,46.16,82.76,60.24,78.49,64.81,33.93,62.59,42.62,71.32,42.91
46.01,52.37,42.66,59.3,57.05,48.2,64.26,56.35,59.29,65.75,40.35,65.43,67.13,108.63,91.61,72.62,95.93,52.91,51.42,52.32,44.85,57.64,111.22,71.56,42.6
44.14,43.53,37.7,45.2,82.45,35.74,65.67,58.21,53.2,45.13,70.79,60.46,52.06,61.13,60.4,42.15,51.64,66.6,54.02,83.88,88.92,76.18,98.89,67.07,83.48
69.54,54.57,50.83,56.75,61.16,66.65,34.13,31.16,107.97,79.95,73.39,81.8,70.47,85.99,73.53,62.86,75.55,49.42,42.23,50.55,68.07,42.34,62.37,82.47,107.65
55.25,34.89,63.6,31.71,54.28,61.51,70.59,37.4,68.81,34.87,61.1,57.88,58.61,37.33,78.87,52.94,86.37,87.55,59.17,112.67,60.62,78.36,56.07,51.85,66.1
37.76,55.64,51.53,61.24,68.44,43.44,49.31,62.71,53.06,47.9,52.35,82.53,78.28,54.99,106.0,72.43,67.21,33.64,94.58,72.28,70.89,86.21,77.34,54.56,62.5
60.64,61.17,70.38,57.58,57.63,49.0,52.17,47.68,43.69,85.16,76.41,60.34,41.6,65.65,67.53,72.01,24.76,65.35,52.5,45.53,94.93,59.8,41.88,83.63,90.69
73.28,30.07,36.31,61.66,57.62,49.93,92.61,72.79,31.74,53.47,69.18,48.25,102.08,48.56,46.73,74.66,71.57,79.59,54.73,59.72,71.09,112.36,29.95,103.52,59.57
61.84,56.11,52.86,66.7,41.35,36.72,61.08,71.54,44.13,40.28,49.09,72.87,77.12,56.82,79.84,71.17,81.09,74.5,72.78,64.44,82.08,72.37,63.12,73.5,81.18
35.05,65.5,38.6,58.41,57.92,45.37,51.78,68.07,60.67,63.29,61.76,57.13,35.21,60.29,97.65,55.08,49.47,54.37,61.77,118.25,53.64,39.21,70.12,85.08,75.94
45.92,38.69,57.18,55.78,67.94,41.26,27.23,83.48,79.7,52.87,40.05,71.93,51.3,60.02,59.36,61.3,62.3,80.54,112.45,52.31,58.32,66.09,75.03,90.68,65.79
64.3,70.4,63.2,43.43,44.55,50.64,75.76,56.84,75.26,47.46,71.63,18.33,76.47,95.54,79.72,82.57,45.62,51.17,65.83,67.68,78.26,73.32,59.78,92.27,74.65
43.57,56.61,48.16,45.45,72.81,46.4,38.84,67.08,62.32,43.56,56.94,62.08,82.41,70.43,86.5,85.22,19.45,67.57,75.54,59.24,109.8,81.43,100.39,53.02,114.67
55.66,44.24,23.05,68.24,53.85,34.85,43.45,49.82,54.31,101.53,54.25,54.65,42.01,72.15,82.8,45.36,86.0,80.38,87.4,79.99,100.31,66.59,40.85,56.91,88.6
59.13,51.39,55.29,71.24,43.9,82.29,52.53,92.33,62.9,56.23,60.49,44.99,74.76,73.17,67.2,38.44,66.93,76.8,87.03,59.56,82.95,50.76,48.53,58.82,99.58
41.27,58.14,58.02,51.14,67.47,72.28,76.12,85.77,51.48,31.12,61.62,53.15,30.87,74.41,52.78,52.92,96.56,55.17,73.55,47.22,74.1,49.01,83.46,116.43,54.33
50.37,52.84,57.65,54.55,51.42,45.87,67.44,58.17,83.92,82.41,74.87,52.82,61.53,62.59,63.58,84.81,82.86,90.75,65.86,66.09,99.72,58.27,48.02,85.18,99.66
16.97,57.93,67.21,43.14,64.49,59.54,54.87,63.41,56.26,69.17,70.16,61.23,81.35,58.55,73.03,87.87,60.45,69.65,108.47,64.01,87.29,60.29,47.19,84.19,89.38
40.24,41.87,40.68,68.07,51.35,61.43,61.16,77.03,57.75,48.5,58.58,40.12,53.9,66.84,80.89,49.36,65.46,82.12,67.05,58.16,23.98,48.17,75.65,82.06,41.26
48.35,53.86,60.82,61.99,54.25,71.48,48.89,55.94,26.87,46.0,72.84,67.06,38.14,83.67,70.84,71.53,77.47,97.05,60.39,59.22,49.39,56.61,50.35,44.94,87.15
37.9,36.45,66.71,77.29,61.17,45.36,58.89,48.81,56.17,70.1,67.21,83.86,65.41,83.15,58.35,99.02,84.89,89.23,56.41,93.69,77.93,85.85,70.14,116.64,63.45
68.14,50.78,32.55,43.46,58.64,70.2,57.99,70.24,71.13,56.3,54.39,66.49,53.02,59.91,74.72,73.48,72.97,89.28,35.33,63.61,34.37,106.62,57.95,84.54,40.22
35.98,42.06,56.68,49.46,30.06,48.88,70.08,59.1,43.52,31.11,59.07,74.94,73.39,77.05,80.05,91.59,87.45,71.66,85.02,47.32,52.6,87.86,54.47,89.91,77.92
46.38,43.91,47.2,56.78,40.98,38.63,70.06,60.56,48.11,86.81,58.7,79.51,48.39,60.69,71.64,83.98,61.51,83.08,23.21,60.76,56.65,99.42,27.8,35.16,87.13
52.37,65.6,52.06,61.76,66.62,65.41,63.67,46.32,70.49,53.49,68.83,81.78,50.25,64.58,50.37,49.62,48.55,72.06,68.89,71.09,65.75,92.46,76.0,91.15,78.41
66.13,64.0,57.0,51.41,53.35,72.78,52.11,33.95,37.59,82.43,55.31,91.92,29.65,55.95,61.83,62.58,65.8,45.02,65.01,43.27,65.11,89.5,46.19,66.16,72.54
35.92,58.7,47.4,43.52,48.45,89.64,67.01,61.31,74.34,79.18,54.95,54.01,65.8,60.91,81.59,66.63,70.8,73.75,112.68,102.52,65.07,64.91,69.38,44.9,67.56
63.21,39.98,45.23,64.58,38.02,40.4,55.76,70.67,51.28,44.98,91.52,50.5,60.35,86.8,40.8,67.87,44.77,72.87,33.28,87.35,87.92,74.96,61.99,53.02,130.5
51.11,48.52,53.39,62.65,41.5,65.09,42.39,54.84,53.37,75.5,75.57,74.54,43.39,65.57,28.37,82.49,42.27,79.09,51.43,98.6,65.56,63.17,68.56,46.17,48.39
40.69,65.34,40.5,43.0,29.73,50.67,51.56,78.11,42.7,50.23,49.21,73.33,66.2,66.3,91.39,73.36,75.28,65.57,66.35,77.84,63.12,67.4,69.78,45.8,94.64
